2025-10-24 09:54:43,084 | WARNING | matplotlib | /Users/vladimir/.matplotlib is not a writable directory
2025-10-24 09:54:56,923 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:56,923 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:56,949 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:56,995 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:56,995 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:56,995 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:56,995 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:56,918 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:57,000 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:57,000 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:57,005 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:57,005 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:57,006 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:57,032 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:57,131 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:57,043 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:57,129 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:57,129 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:57,135 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:57,032 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:57,135 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:57,165 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:57,136 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:57,136 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:57,137 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:57,160 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:57,160 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:57,161 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:57,165 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:57,136 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:57,230 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:57,230 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:57,231 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:57,231 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:57,255 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:57,255 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
2025-10-24 09:54:57,256 | INFO | healpy | -> fwhm is 0.000000 arcmin
2025-10-24 09:54:57,256 | INFO | healpy | Sigma is 0.000000 arcmin (0.000000 rad) 
